Designator,Mid X,Mid Y,Layer,Rotation
D1,28.9625mm,-29.4500mm,Bottom,180
D2,48.0125mm,-29.4500mm,Bottom,180
D3,67.0625mm,-29.4500mm,Bottom,180
D4,86.1125mm,-29.4500mm,Bottom,180
D5,105.1625mm,-29.4500mm,Bottom,180
D6,124.2125mm,-29.4500mm,Bottom,180
D7,143.2625mm,-29.4500mm,Bottom,180
D8,162.3125mm,-29.4500mm,Bottom,180
D9,181.3625mm,-29.4500mm,Bottom,180
D10,200.4125mm,-29.4500mm,Bottom,180
D11,219.4625mm,-29.4500mm,Bottom,180
D12,238.5125mm,-29.4500mm,Bottom,180
D13,257.5625mm,-29.4500mm,Bottom,180
D14,276.6125mm,-29.4500mm,Bottom,180
D15,33.7250mm,-48.5000mm,Bottom,180
D16,57.5375mm,-48.5000mm,Bottom,180
D17,76.5875mm,-48.5000mm,Bottom,180
D18,95.6375mm,-48.5000mm,Bottom,180
D19,114.6875mm,-48.5000mm,Bottom,180
D20,133.7375mm,-48.5000mm,Bottom,180
D21,152.7875mm,-48.5000mm,Bottom,180
D22,171.8375mm,-48.5000mm,Bottom,180
D23,190.8875mm,-48.5000mm,Bottom,180
D24,209.9375mm,-48.5000mm,Bottom,180
D25,228.9875mm,-48.5000mm,Bottom,180
D26,248.0375mm,-48.5000mm,Bottom,180
D27,271.8500mm,-48.5000mm,Bottom,180
D28,38.4875mm,-67.5500mm,Bottom,180
D29,67.0625mm,-67.5500mm,Bottom,180
D30,86.1125mm,-67.5500mm,Bottom,180
D31,105.1625mm,-67.5500mm,Bottom,180
D32,124.2125mm,-67.5500mm,Bottom,180
D33,143.2625mm,-67.5500mm,Bottom,180
D34,162.3125mm,-67.5500mm,Bottom,180
D35,181.3625mm,-67.5500mm,Bottom,180
D36,200.4125mm,-67.5500mm,Bottom,180
D37,219.4625mm,-67.5500mm,Bottom,180
D38,238.5125mm,-67.5500mm,Bottom,180
D39,267.0875mm,-67.5500mm,Bottom,180
D40,28.9625mm,-86.6000mm,Bottom,180
D41,50.3937mm,-86.6000mm,Bottom,180
D42,74.2062mm,-86.6000mm,Bottom,180
D43,112.3063mm,-86.6000mm,Bottom,180
D44,148.0250mm,-86.6000mm,Bottom,180
D45,183.7438mm,-86.6000mm,Bottom,180
D46,219.4625mm,-86.6000mm,Bottom,180
D47,238.5125mm,-86.6000mm,Bottom,180
D48,257.5625mm,-86.6000mm,Bottom,180
D49,276.6125mm,-86.6000mm,Bottom,180
