Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","SW_Cherry_MX_PCB_1.00u",24.062501,-23.450000,180.000000,top
"SW2","SW_Push","SW_Cherry_MX_PCB_1.00u",43.112501,-23.450000,180.000000,top
"SW3","SW_Push","SW_Cherry_MX_PCB_1.00u",62.162501,-23.450000,180.000000,top
"SW4","SW_Push","SW_Cherry_MX_PCB_1.00u",81.212501,-23.450000,180.000000,top
"SW5","SW_Push","SW_Cherry_MX_PCB_1.00u",100.262501,-23.450000,180.000000,top
"SW6","SW_Push","SW_Cherry_MX_PCB_1.00u",119.312501,-23.450000,180.000000,top
"SW7","SW_Push","SW_Cherry_MX_PCB_1.00u",138.362501,-23.450000,180.000000,top
"SW8","SW_Push","SW_Cherry_MX_PCB_1.00u",157.412501,-23.450000,180.000000,top
"SW9","SW_Push","SW_Cherry_MX_PCB_1.00u",176.462501,-23.450000,180.000000,top
"SW10","SW_Push","SW_Cherry_MX_PCB_1.00u",195.512501,-23.450000,180.000000,top
"SW11","SW_Push","SW_Cherry_MX_PCB_1.00u",214.562501,-23.450000,180.000000,top
"SW12","SW_Push","SW_Cherry_MX_PCB_1.00u",233.612501,-23.450000,180.000000,top
"SW13","SW_Push","SW_Cherry_MX_PCB_1.00u",252.662501,-23.450000,180.000000,top
"SW14","SW_Push","SW_Cherry_MX_PCB_1.00u",271.712501,-23.450000,180.000000,top
"SW15","SW_Push","SW_Cherry_MX_PCB_1.50u",28.825001,-42.500000,180.000000,top
"SW16","SW_Push","SW_Cherry_MX_PCB_1.00u",52.637501,-42.500000,180.000000,top
"SW17","SW_Push","SW_Cherry_MX_PCB_1.00u",71.687501,-42.500000,180.000000,top
"SW18","SW_Push","SW_Cherry_MX_PCB_1.00u",90.737501,-42.500000,180.000000,top
"SW19","SW_Push","SW_Cherry_MX_PCB_1.00u",109.787501,-42.500000,180.000000,top
"SW20","SW_Push","SW_Cherry_MX_PCB_1.00u",128.837501,-42.500000,180.000000,top
"SW21","SW_Push","SW_Cherry_MX_PCB_1.00u",147.887501,-42.500000,180.000000,top
"SW22","SW_Push","SW_Cherry_MX_PCB_1.00u",166.937501,-42.500000,180.000000,top
"SW23","SW_Push","SW_Cherry_MX_PCB_1.00u",185.987501,-42.500000,180.000000,top
"SW24","SW_Push","SW_Cherry_MX_PCB_1.00u",205.037501,-42.500000,180.000000,top
"SW25","SW_Push","SW_Cherry_MX_PCB_1.00u",224.087501,-42.500000,180.000000,top
"SW26","SW_Push","SW_Cherry_MX_PCB_1.00u",243.137501,-42.500000,180.000000,top
"SW27","SW_Push","SW_Cherry_MX_PCB_1.50u",266.950001,-42.500000,180.000000,top
"SW28","SW_Push","SW_Cherry_MX_PCB_2.00u",33.587501,-61.550000,180.000000,top
"SW29","SW_Push","SW_Cherry_MX_PCB_1.00u",62.162501,-61.550000,180.000000,top
"SW30","SW_Push","SW_Cherry_MX_PCB_1.00u",81.212501,-61.550000,180.000000,top
"SW31","SW_Push","SW_Cherry_MX_PCB_1.00u",100.262501,-61.550000,180.000000,top
"SW32","SW_Push","SW_Cherry_MX_PCB_1.00u",119.312501,-61.550000,180.000000,top
"SW33","SW_Push","SW_Cherry_MX_PCB_1.00u",138.362501,-61.550000,180.000000,top
"SW34","SW_Push","SW_Cherry_MX_PCB_1.00u",157.412501,-61.550000,180.000000,top
"SW35","SW_Push","SW_Cherry_MX_PCB_1.00u",176.462501,-61.550000,180.000000,top
"SW36","SW_Push","SW_Cherry_MX_PCB_1.00u",195.512501,-61.550000,180.000000,top
"SW37","SW_Push","SW_Cherry_MX_PCB_1.00u",214.562501,-61.550000,180.000000,top
"SW38","SW_Push","SW_Cherry_MX_PCB_1.00u",233.612501,-61.550000,180.000000,top
"SW39","SW_Push","SW_Cherry_MX_PCB_2.00u",262.187501,-61.550000,180.000000,top
"SW40","SW_Push","SW_Cherry_MX_PCB_1.00u",24.062501,-80.600000,180.000000,top
"SW41","SW_Push","SW_Cherry_MX_PCB_1.25u",45.493751,-80.600000,180.000000,top
"SW42","SW_Push","SW_Cherry_MX_PCB_1.25u",69.306251,-80.600000,180.000000,top
"SW43","SW_Push","SW_Cherry_MX_PCB_2.75u",107.406251,-80.600000,180.000000,top
"SW44","SW_Push","SW_Cherry_MX_PCB_1.00u",143.125001,-80.600000,180.000000,top
"SW45","SW_Push","SW_Cherry_MX_PCB_2.75u",178.843751,-80.600000,180.000000,top
"SW46","SW_Push","SW_Cherry_MX_PCB_1.00u",214.562501,-80.600000,180.000000,top
"SW47","SW_Push","SW_Cherry_MX_PCB_1.00u",233.612501,-80.600000,180.000000,top
"SW48","SW_Push","SW_Cherry_MX_PCB_1.00u",252.662501,-80.600000,180.000000,top
"SW49","SW_Push","SW_Cherry_MX_PCB_1.00u",271.712501,-80.600000,180.000000,top
